RecordType|CIFID|PremiumIndicator|CustomerClassification
FN|0230723|B|C
FN|0362424|B|B
FN|0276145|B|C
FN|0249244|B|B
FN|0525718|B|B
FN|0482811|B|B
FN|0271662|B|B
FN|0450252|B|C
FN|0619154|B|C
FN|0391347|B|C
FN|0215001|B|C
FN|0469210|B|B
FN|0209376|B|B
FN|0433073|B|B
FN|0592428|B|B
FN|0444867|B|C
FN|0215562|B|B
FN|0324883|B|C
FN|0464371|B|C
FN|0134469|B|B
FN|0104485|B|B
FN|0318982|B|B
FN|0211213|B|B
FN|0440772|B|C
FN|0125083|B|B
FN|0129309|B|B
FN|0634323|B|C
FN|0198640|B|C
FN|0208730|B|B
FN|0784963|B|B
FN|0210968|B|C
FN|0171914|B|B
FN|0434205|B|B
FN|0310752|B|B
FN|0168696|B|B
FN|0442149|B|C
FN|0469423|B|B
FN|0450256|B|C
FN|0191345|B|B
FN|0123332|B|C
FN|0244129|B|C
FN|0343187|B|C
FN|0293784|B|C
FN|0482501|B|B
FN|0270984|B|C
FN|0234200|B|B
FN|0451281|B|C
FN|0271972|B|C
FN|0171214|B|C
FN|0276178|B|C
FN|0202248|B|B
FN|0280836|B|C
FN|0218208|B|C
FN|0177315|B|B
FN|0214517|B|B
FN|0445752|B|C
FN|0157837|B|C
FN|0339786|B|C
FN|0551433|B|C
FN|0137235|B|B
FN|0253904|B|B
FN|0756989|B|B
FN|0399037|B|B
FN|0383826|B|C
FN|0371122|B|C
FN|0357636|B|C
FN|0344910|B|B
FN|0243735|B|C
FN|0248568|B|B
FN|0226577|B|C
FN|0390470|B|B
FN|0153988|B|B
FN|0216029|B|B
FN|0233112|B|B
FN|0262241|B|C
FN|0482901|B|B
FN|0414639|B|C
FN|0420233|B|C
FN|0394149|B|C
FN|0335702|B|C
FN|0463270|B|C
FN|0263448|B|C
FN|0262049|B|B
FN|0520195|B|B
FN|0224929|B|B
FN|0264930|B|C
FN|0396831|B|B
FN|0474310|B|B
FN|0540065|B|B
FN|0430892|B|B
FN|2011273|B|B
FN|2013722|B|C
FN|2506742|B|C
FN|2040929|B|C
FN|2045496|B|B
FN|2053278|B|C
FN|2042000|B|B
FN|2047227|B|C
FN|2064539|B|C
FN|2067550|B|B
FN|0362078|B|B
FN|2057083|B|B
FN|2062667|B|B
FN|2502270|B|C
FN|2061102|B|I
FN|2063186|B|C
FN|2076630|B|C
FN|2502130|B|C
FN|2078721|B|I
FN|2074507|B|C
FN|2083663|B|B
FN|0214238|B|C
FN|2102292|B|I
FN|2110975|B|C
FN|2110932|B|I
FN|2126438|B|I
FN|2127175|B|C
FN|2127534|B|C
FN|2133100|B|I
FN|2126015|B|B
FN|0418608|B|C
FN|2156897|B|C
FN|2150988|B|I
FN|2154916|B|C
FN|2157787|B|C
FN|2158241|B|B
FN|2164658|B|B
FN|2508616|B|C
FN|2171395|B|C
FN|2179538|B|C
FN|2517966|B|C
FN|2185444|B|B
FN|2215628|B|B
FN|2238349|B|B
FN|2511264|B|C
FN|2204247|B|C
FN|2515917|B|C
FN|2193479|B|I
FN|2190570|B|B
FN|2202553|B|C
FN|2220448|B|C
FN|2319477|B|C
FN|2260187|B|C
FN|2255661|B|C
FN|2295297|B|C
FN|2575228|B|B
FN|2293886|B|C
FN|2326847|B|C
FN|2272427|B|B
FN|2251380|B|B
FN|2260582|B|C
FN|2329754|B|C
FN|2264292|B|B
FN|2507956|B|C
FN|2333362|B|I
FN|2408424|B|C
FN|2326475|B|C
FN|2261517|B|I
